concept:name,time:timestamp,case:concept:name
A,2023-03-12T22:57:18.313+01:00,35
D,2023-03-12T22:57:19.328+01:00,35
A,2023-03-12T22:57:18.479+01:00,36
B,2023-03-12T22:57:19.526+01:00,36
C,2023-03-12T22:57:19.567+01:00,36
A,2023-03-12T22:57:18.593+01:00,37
C,2023-03-12T22:57:19.708+01:00,37
B,2023-03-12T22:57:19.636+01:00,37
A,2023-03-12T22:57:19.215+01:00,38
D,2023-03-12T22:57:24.230+01:00,38
A,2023-03-12T22:57:20.633+01:00,39
B,2023-03-12T22:57:21.673+01:00,39
C,2023-03-12T22:57:21.693+01:00,39
A,2023-03-12T22:57:20.691+01:00,40
C,2023-03-12T22:57:21.730+01:00,40
B,2023-03-12T22:57:21.762+01:00,40
A,2023-03-12T22:57:21.523+01:00,41
D,2023-03-12T22:57:24.568+01:00,41
A,2023-03-12T22:57:21.663+01:00,42
D,2023-03-12T22:57:22.671+01:00,42
A,2023-03-12T22:57:22.771+01:00,43
B,2023-03-12T22:57:23.818+01:00,43
C,2023-03-12T22:57:23.864+01:00,43
A,2023-03-12T22:57:22.985+01:00,44
C,2023-03-12T22:57:24.053+01:00,44
B,2023-03-12T22:57:24.106+01:00,44
A,2023-03-12T22:57:23.320+01:00,45
D,2023-03-12T22:57:26.326+01:00,45
A,2023-03-12T22:57:23.796+01:00,46
D,2023-03-12T22:57:26.810+01:00,46
A,2023-03-12T22:57:24.570+01:00,47
C,2023-03-12T22:57:25.600+01:00,47
B,2023-03-12T22:57:25.637+01:00,47
A,2023-03-12T22:57:25.106+01:00,48
D,2023-03-12T22:57:27.147+01:00,48
A,2023-03-12T22:57:25.299+01:00,49
D,2023-03-12T22:57:28.312+01:00,49
A,2023-03-12T22:57:26.310+01:00,50
D,2023-03-12T22:57:28.325+01:00,50
A,2023-03-12T22:57:26.853+01:00,51
D,2023-03-12T22:57:28.868+01:00,51
A,2023-03-12T22:57:27.413+01:00,52
B,2023-03-12T22:57:28.460+01:00,52
C,2023-03-12T22:57:28.567+01:00,52
A,2023-03-12T22:57:27.505+01:00,53
B,2023-03-12T22:57:28.551+01:00,53
C,2023-03-12T22:57:28.566+01:00,53
A,2023-03-12T22:57:28.489+01:00,54
C,2023-03-12T22:57:29.538+01:00,54
B,2023-03-12T22:57:29.677+01:00,54
A,2023-03-12T22:57:28.838+01:00,55
B,2023-03-12T22:57:29.899+01:00,55
C,2023-03-12T22:57:29.943+01:00,55
A,2023-03-12T22:57:29.141+01:00,56
D,2023-03-12T22:57:30.189+01:00,56
A,2023-03-12T22:57:29.274+01:00,57
D,2023-03-12T22:57:31.294+01:00,57
A,2023-03-12T22:57:29.365+01:00,58
B,2023-03-12T22:57:30.399+01:00,58
C,2023-03-12T22:57:30.429+01:00,58
A,2023-03-12T22:57:30.321+01:00,59
C,2023-03-12T22:57:31.383+01:00,59
B,2023-03-12T22:57:31.436+01:00,59
A,2023-03-12T22:57:30.526+01:00,60
B,2023-03-12T22:57:31.587+01:00,60
C,2023-03-12T22:57:31.629+01:00,60
A,2023-03-12T22:57:31.892+01:00,61
B,2023-03-12T22:57:32.951+01:00,61
C,2023-03-12T22:57:32.995+01:00,61
A,2023-03-12T22:57:32.415+01:00,62
B,2023-03-12T22:57:33.448+01:00,62
C,2023-03-12T22:57:33.518+01:00,62
A,2023-03-12T22:57:32.828+01:00,63
C,2023-03-12T22:57:33.878+01:00,63
B,2023-03-12T22:57:33.906+01:00,63
A,2023-03-12T22:57:33.105+01:00,64
D,2023-03-12T22:57:35.122+01:00,64
A,2023-03-12T22:57:33.202+01:00,65
C,2023-03-12T22:57:34.271+01:00,65
B,2023-03-12T22:57:34.339+01:00,65
A,2023-03-12T22:57:33.953+01:00,66
D,2023-03-12T22:57:36.973+01:00,66
A,2023-03-12T22:57:34.248+01:00,67
C,2023-03-12T22:57:35.320+01:00,67
B,2023-03-12T22:57:35.364+01:00,67
A,2023-03-12T22:57:34.875+01:00,68
D,2023-03-12T22:57:35.884+01:00,68
A,2023-03-12T22:57:35.536+01:00,69
B,2023-03-12T22:57:36.608+01:00,69
C,2023-03-12T22:57:36.627+01:00,69
A,2023-03-12T22:57:36.087+01:00,70
D,2023-03-12T22:57:41.094+01:00,70
A,2023-03-12T22:57:37.127+01:00,71
B,2023-03-12T22:57:38.180+01:00,71
C,2023-03-12T22:57:38.223+01:00,71
A,2023-03-12T22:57:37.728+01:00,72
D,2023-03-12T22:57:40.779+01:00,72
A,2023-03-12T22:57:37.748+01:00,73
D,2023-03-12T22:57:41.756+01:00,73
A,2023-03-12T22:57:38.027+01:00,74
C,2023-03-12T22:57:39.079+01:00,74
B,2023-03-12T22:57:39.224+01:00,74
A,2023-03-12T22:57:38.081+01:00,75
B,2023-03-12T22:57:39.139+01:00,75
C,2023-03-12T22:57:39.174+01:00,75
A,2023-03-12T22:57:38.605+01:00,76
C,2023-03-12T22:57:39.647+01:00,76
B,2023-03-12T22:57:39.695+01:00,76
A,2023-03-12T22:57:39.846+01:00,77
D,2023-03-12T22:57:44.851+01:00,77
A,2023-03-12T22:57:40.342+01:00,78
D,2023-03-12T22:57:44.349+01:00,78
A,2023-03-12T22:57:40.471+01:00,79
D,2023-03-12T22:57:44.476+01:00,79
A,2023-03-12T22:57:41.076+01:00,80
D,2023-03-12T22:57:43.085+01:00,80
A,2023-03-12T22:57:41.159+01:00,81
C,2023-03-12T22:57:42.211+01:00,81
B,2023-03-12T22:57:42.250+01:00,81
A,2023-03-12T22:57:42.088+01:00,82
C,2023-03-12T22:57:43.174+01:00,82
B,2023-03-12T22:57:43.221+01:00,82
A,2023-03-12T22:57:42.410+01:00,83
C,2023-03-12T22:57:43.441+01:00,83
B,2023-03-12T22:57:43.479+01:00,83
A,2023-03-12T22:57:43.513+01:00,84
B,2023-03-12T22:57:44.586+01:00,84
C,2023-03-12T22:57:44.625+01:00,84
A,2023-03-12T22:57:43.755+01:00,85
C,2023-03-12T22:57:44.788+01:00,85
B,2023-03-12T22:57:44.876+01:00,85
A,2023-03-12T22:57:44.098+01:00,86
D,2023-03-12T22:57:47.121+01:00,86
A,2023-03-12T22:57:44.100+01:00,87
B,2023-03-12T22:57:45.185+01:00,87
C,2023-03-12T22:57:45.242+01:00,87
A,2023-03-12T22:57:44.902+01:00,88
D,2023-03-12T22:57:49.922+01:00,88
A,2023-03-12T22:57:46.354+01:00,89
B,2023-03-12T22:57:47.394+01:00,89
C,2023-03-12T22:57:47.449+01:00,89
A,2023-03-12T22:57:46.884+01:00,90
D,2023-03-12T22:57:51.899+01:00,90
A,2023-03-12T22:57:47.592+01:00,91
D,2023-03-12T22:57:51.615+01:00,91
A,2023-03-12T22:57:47.710+01:00,92
D,2023-03-12T22:57:49.731+01:00,92
A,2023-03-12T22:57:48.285+01:00,93
C,2023-03-12T22:57:49.301+01:00,93
B,2023-03-12T22:57:49.333+01:00,93
A,2023-03-12T22:57:48.551+01:00,94
D,2023-03-12T22:57:50.557+01:00,94
A,2023-03-12T22:57:48.653+01:00,95
B,2023-03-12T22:57:49.697+01:00,95
C,2023-03-12T22:57:49.754+01:00,95
A,2023-03-12T22:57:48.875+01:00,96
D,2023-03-12T22:57:53.893+01:00,96
A,2023-03-12T22:57:49.018+01:00,97
B,2023-03-12T22:57:50.062+01:00,97
C,2023-03-12T22:57:50.104+01:00,97
A,2023-03-12T22:57:50.583+01:00,98
B,2023-03-12T22:57:51.668+01:00,98
C,2023-03-12T22:57:51.699+01:00,98
A,2023-03-12T22:57:51.310+01:00,99
C,2023-03-12T22:57:52.366+01:00,99
B,2023-03-12T22:57:52.399+01:00,99
A,2023-03-12T22:57:51.931+01:00,100
B,2023-03-12T22:57:53.012+01:00,100
C,2023-03-12T22:57:53.100+01:00,100
A,2023-03-12T22:57:52.079+01:00,101
D,2023-03-12T22:57:56.085+01:00,101
A,2023-03-12T22:57:52.095+01:00,102
C,2023-03-12T22:57:53.120+01:00,102
B,2023-03-12T22:57:53.191+01:00,102
A,2023-03-12T22:57:52.835+01:00,103
D,2023-03-12T22:57:53.872+01:00,103
A,2023-03-12T22:57:53.790+01:00,104
C,2023-03-12T22:57:54.846+01:00,104
B,2023-03-12T22:57:54.893+01:00,104
A,2023-03-12T22:57:53.873+01:00,105
D,2023-03-12T22:57:55.880+01:00,105
A,2023-03-12T22:57:54.537+01:00,106
D,2023-03-12T22:57:59.554+01:00,106
A,2023-03-12T22:57:54.852+01:00,107
C,2023-03-12T22:57:55.936+01:00,107
B,2023-03-12T22:57:55.990+01:00,107
A,2023-03-12T22:57:55.333+01:00,108
D,2023-03-12T22:57:56.340+01:00,108
A,2023-03-12T22:57:55.588+01:00,109
B,2023-03-12T22:57:56.651+01:00,109
C,2023-03-12T22:57:56.704+01:00,109
A,2023-03-12T22:57:56.064+01:00,110
C,2023-03-12T22:57:57.147+01:00,110
B,2023-03-12T22:57:57.195+01:00,110
A,2023-03-12T22:57:56.126+01:00,111
D,2023-03-12T22:58:01.134+01:00,111
A,2023-03-12T22:57:56.950+01:00,112
B,2023-03-12T22:57:57.991+01:00,112
C,2023-03-12T22:57:58.035+01:00,112
A,2023-03-12T22:57:57.238+01:00,113
D,2023-03-12T22:57:59.251+01:00,113
A,2023-03-12T22:57:58.760+01:00,114
D,2023-03-12T22:57:59.765+01:00,114
A,2023-03-12T22:57:59.079+01:00,115
C,2023-03-12T22:58:00.205+01:00,115
B,2023-03-12T22:58:00.256+01:00,115
A,2023-03-12T22:57:59.107+01:00,116
C,2023-03-12T22:58:00.154+01:00,116
B,2023-03-12T22:58:00.222+01:00,116
A,2023-03-12T22:58:00.225+01:00,117
D,2023-03-12T22:58:04.258+01:00,117
A,2023-03-12T22:58:00.254+01:00,118
B,2023-03-12T22:58:01.295+01:00,118
C,2023-03-12T22:58:01.331+01:00,118
A,2023-03-12T22:58:00.391+01:00,119
D,2023-03-12T22:58:04.421+01:00,119
A,2023-03-12T22:58:00.939+01:00,120
D,2023-03-12T22:58:04.967+01:00,120
A,2023-03-12T22:58:01.108+01:00,121
D,2023-03-12T22:58:02.133+01:00,121
A,2023-03-12T22:58:02.060+01:00,122
B,2023-03-12T22:58:03.101+01:00,122
C,2023-03-12T22:58:03.171+01:00,122
A,2023-03-12T22:58:02.400+01:00,123
B,2023-03-12T22:58:03.463+01:00,123
C,2023-03-12T22:58:03.490+01:00,123
A,2023-03-12T22:58:02.767+01:00,124
B,2023-03-12T22:58:03.810+01:00,124
C,2023-03-12T22:58:03.849+01:00,124
A,2023-03-12T22:58:04.315+01:00,125
D,2023-03-12T22:58:08.333+01:00,125
A,2023-03-12T22:58:04.643+01:00,126
C,2023-03-12T22:58:05.694+01:00,126
B,2023-03-12T22:58:05.750+01:00,126
A,2023-03-12T22:58:04.769+01:00,127
D,2023-03-12T22:58:08.778+01:00,127
A,2023-03-12T22:58:05.222+01:00,128
C,2023-03-12T22:58:06.286+01:00,128
B,2023-03-12T22:58:06.314+01:00,128
A,2023-03-12T22:58:05.612+01:00,129
C,2023-03-12T22:58:06.711+01:00,129
B,2023-03-12T22:58:06.767+01:00,129
A,2023-03-12T22:58:06.358+01:00,130
D,2023-03-12T22:58:11.367+01:00,130
A,2023-03-12T22:58:06.912+01:00,131
D,2023-03-12T22:58:07.944+01:00,131
A,2023-03-12T22:58:07.232+01:00,132
B,2023-03-12T22:58:08.334+01:00,132
C,2023-03-12T22:58:08.405+01:00,132
A,2023-03-12T22:58:07.333+01:00,133
D,2023-03-12T22:58:10.350+01:00,133
A,2023-03-12T22:58:07.462+01:00,134
B,2023-03-12T22:58:08.515+01:00,134
C,2023-03-12T22:58:08.551+01:00,134
A,2023-03-12T22:58:07.897+01:00,135
D,2023-03-12T22:58:08.914+01:00,135
A,2023-03-12T22:58:08.754+01:00,136
C,2023-03-12T22:58:09.841+01:00,136
B,2023-03-12T22:58:09.870+01:00,136
A,2023-03-12T22:58:08.852+01:00,137
C,2023-03-12T22:58:09.942+01:00,137
B,2023-03-12T22:58:09.907+01:00,137
A,2023-03-12T22:58:09.720+01:00,138
D,2023-03-12T22:58:12.735+01:00,138
A,2023-03-12T22:58:10.926+01:00,139
B,2023-03-12T22:58:11.990+01:00,139
C,2023-03-12T22:58:12.093+01:00,139
A,2023-03-12T22:58:11.488+01:00,140
D,2023-03-12T22:58:12.496+01:00,140
A,2023-03-12T22:58:11.709+01:00,141
C,2023-03-12T22:58:12.744+01:00,141
B,2023-03-12T22:58:12.771+01:00,141
A,2023-03-12T22:58:12.108+01:00,142
D,2023-03-12T22:58:17.115+01:00,142
A,2023-03-12T22:58:12.134+01:00,143
D,2023-03-12T22:58:13.140+01:00,143
A,2023-03-12T22:58:12.245+01:00,144
B,2023-03-12T22:58:13.311+01:00,144
C,2023-03-12T22:58:13.371+01:00,144
A,2023-03-12T22:58:12.807+01:00,145
D,2023-03-12T22:58:13.841+01:00,145
A,2023-03-12T22:58:14.076+01:00,146
D,2023-03-12T22:58:15.111+01:00,146
A,2023-03-12T22:58:14.504+01:00,147
C,2023-03-12T22:58:15.573+01:00,147
B,2023-03-12T22:58:15.595+01:00,147
A,2023-03-12T22:58:14.701+01:00,148
D,2023-03-12T22:58:18.724+01:00,148
A,2023-03-12T22:58:15.683+01:00,149
D,2023-03-12T22:58:16.696+01:00,149
A,2023-03-12T22:58:15.895+01:00,150
C,2023-03-12T22:58:16.952+01:00,150
B,2023-03-12T22:58:16.986+01:00,150
A,2023-03-12T22:58:17.216+01:00,151
D,2023-03-12T22:58:22.222+01:00,151
A,2023-03-12T22:58:17.382+01:00,152
D,2023-03-12T22:58:20.410+01:00,152
A,2023-03-12T22:58:17.708+01:00,153
B,2023-03-12T22:58:18.737+01:00,153
C,2023-03-12T22:58:18.756+01:00,153
A,2023-03-12T22:58:18.165+01:00,154
D,2023-03-12T22:58:23.177+01:00,154
A,2023-03-12T22:58:18.192+01:00,155
D,2023-03-12T22:58:21.212+01:00,155
A,2023-03-12T22:58:18.500+01:00,156
D,2023-03-12T22:58:21.508+01:00,156
A,2023-03-12T22:58:20.161+01:00,157
D,2023-03-12T22:58:21.173+01:00,157
A,2023-03-12T22:58:20.353+01:00,158
D,2023-03-12T22:58:22.380+01:00,158
A,2023-03-12T22:58:20.794+01:00,159
B,2023-03-12T22:58:21.864+01:00,159
C,2023-03-12T22:58:21.922+01:00,159
A,2023-03-12T22:58:20.926+01:00,160
D,2023-03-12T22:58:25.954+01:00,160
A,2023-03-12T22:58:22.018+01:00,161
D,2023-03-12T22:58:24.050+01:00,161
A,2023-03-12T22:58:22.111+01:00,162
D,2023-03-12T22:58:26.135+01:00,162
A,2023-03-12T22:58:22.362+01:00,163
B,2023-03-12T22:58:23.429+01:00,163
C,2023-03-12T22:58:23.495+01:00,163
A,2023-03-12T22:58:22.661+01:00,164
B,2023-03-12T22:58:23.744+01:00,164
C,2023-03-12T22:58:23.775+01:00,164
A,2023-03-12T22:58:22.882+01:00,165
D,2023-03-12T22:58:24.892+01:00,165
A,2023-03-12T22:58:24.009+01:00,166
D,2023-03-12T22:58:27.041+01:00,166
A,2023-03-12T22:58:24.139+01:00,167
D,2023-03-12T22:58:26.173+01:00,167
A,2023-03-12T22:58:24.911+01:00,168
B,2023-03-12T22:58:25.993+01:00,168
C,2023-03-12T22:58:26.029+01:00,168
A,2023-03-12T22:58:25.475+01:00,169
B,2023-03-12T22:58:26.559+01:00,169
C,2023-03-12T22:58:26.607+01:00,169
A,2023-03-12T22:58:26.606+01:00,170
C,2023-03-12T22:58:27.662+01:00,170
B,2023-03-12T22:58:27.720+01:00,170
A,2023-03-12T22:58:26.783+01:00,171
D,2023-03-12T22:58:29.791+01:00,171
A,2023-03-12T22:58:27.356+01:00,172
B,2023-03-12T22:58:28.404+01:00,172
C,2023-03-12T22:58:28.486+01:00,172
A,2023-03-12T22:58:27.617+01:00,173
D,2023-03-12T22:58:32.646+01:00,173
A,2023-03-12T22:58:27.863+01:00,174
C,2023-03-12T22:58:28.886+01:00,174
B,2023-03-12T22:58:28.910+01:00,174
A,2023-03-12T22:58:29.692+01:00,175
B,2023-03-12T22:58:30.770+01:00,175
C,2023-03-12T22:58:30.820+01:00,175
A,2023-03-12T22:58:29.691+01:00,176
D,2023-03-12T22:58:30.697+01:00,176
A,2023-03-12T22:58:30.125+01:00,177
C,2023-03-12T22:58:31.172+01:00,177
B,2023-03-12T22:58:31.210+01:00,177
A,2023-03-12T22:58:30.363+01:00,178
D,2023-03-12T22:58:35.383+01:00,178
A,2023-03-12T22:58:31.335+01:00,179
D,2023-03-12T22:58:36.342+01:00,179
A,2023-03-12T22:58:31.472+01:00,180
C,2023-03-12T22:58:32.546+01:00,180
B,2023-03-12T22:58:32.612+01:00,180
A,2023-03-12T22:58:32.051+01:00,181
D,2023-03-12T22:58:36.076+01:00,181
A,2023-03-12T22:58:32.501+01:00,182
D,2023-03-12T22:58:37.523+01:00,182
A,2023-03-12T22:58:32.613+01:00,183
C,2023-03-12T22:58:33.680+01:00,183
B,2023-03-12T22:58:33.729+01:00,183
A,2023-03-12T22:58:33.592+01:00,184
C,2023-03-12T22:58:34.656+01:00,184
B,2023-03-12T22:58:34.706+01:00,184
A,2023-03-12T22:58:34.091+01:00,185
B,2023-03-12T22:58:35.151+01:00,185
C,2023-03-12T22:58:35.195+01:00,185
A,2023-03-12T22:58:34.896+01:00,186
B,2023-03-12T22:58:35.978+01:00,186
C,2023-03-12T22:58:36.092+01:00,186
A,2023-03-12T22:58:35.031+01:00,187
B,2023-03-12T22:58:36.060+01:00,187
C,2023-03-12T22:58:36.136+01:00,187
A,2023-03-12T22:58:35.514+01:00,188
B,2023-03-12T22:58:36.580+01:00,188
C,2023-03-12T22:58:36.629+01:00,188
A,2023-03-12T22:58:36.119+01:00,189
D,2023-03-12T22:58:38.144+01:00,189
A,2023-03-12T22:58:36.849+01:00,190
D,2023-03-12T22:58:38.874+01:00,190
A,2023-03-12T22:58:37.738+01:00,191
D,2023-03-12T22:58:38.769+01:00,191
A,2023-03-12T22:58:37.775+01:00,192
C,2023-03-12T22:58:38.836+01:00,192
B,2023-03-12T22:58:38.887+01:00,192
A,2023-03-12T22:58:37.786+01:00,193
C,2023-03-12T22:58:38.833+01:00,193
B,2023-03-12T22:58:38.918+01:00,193
A,2023-03-12T22:58:38.640+01:00,194
D,2023-03-12T22:58:42.653+01:00,194
A,2023-03-12T22:58:39.353+01:00,195
D,2023-03-12T22:58:42.379+01:00,195
A,2023-03-12T22:58:40.454+01:00,196
D,2023-03-12T22:58:43.469+01:00,196
A,2023-03-12T22:58:40.596+01:00,197
B,2023-03-12T22:58:41.677+01:00,197
C,2023-03-12T22:58:41.732+01:00,197
A,2023-03-12T22:58:40.608+01:00,198
D,2023-03-12T22:58:44.620+01:00,198
A,2023-03-12T22:58:40.850+01:00,199
C,2023-03-12T22:58:41.883+01:00,199
B,2023-03-12T22:58:41.919+01:00,199
A,2023-03-12T22:58:41.296+01:00,200
D,2023-03-12T22:58:43.306+01:00,200
